date,name,category,value
2020-03-04,上川総合振興局管内,none,16
2020-03-04,空知総合振興局管内,none,2
2020-03-04,胆振総合振興局管内,none,5
2020-03-04,釧路総合振興局管内,none,6
2020-03-04,渡島総合振興局管内,none,7
2020-03-04,オホーツク総合振興局管内,none,13
2020-03-05,大阪府,none,1
2020-03-05,中国武漢市,none,1
2020-03-05,根室振興局管内,none,1
2020-03-05,日高振興局管内,none,2
2020-03-05,石狩振興局管内,none,25
2020-03-05,檜山振興局管内,none,3
2020-03-05,十勝総合振興局管内,none,1
2020-03-05,上川総合振興局管内,none,16
2020-03-05,空知総合振興局管内,none,2
2020-03-05,胆振総合振興局管内,none,5
2020-03-05,釧路総合振興局管内,none,6
2020-03-05,渡島総合振興局管内,none,7
2020-03-05,オホーツク総合振興局管内,none,13
2020-03-06,大阪府,none,1
2020-03-06,中国武漢市,none,1
2020-03-06,根室振興局管内,none,1
2020-03-06,日高振興局管内,none,2
2020-03-06,檜山振興局管内,none,3
2020-03-06,石狩振興局管内,none,30
2020-03-06,十勝総合振興局管内,none,1
2020-03-06,上川総合振興局管内,none,16
2020-03-06,空知総合振興局管内,none,2
2020-03-06,胆振総合振興局管内,none,5
2020-03-06,釧路総合振興局管内,none,6
2020-03-06,渡島総合振興局管内,none,7
2020-03-06,オホーツク総合振興局管内,none,15
2020-03-07,大阪府,none,1
2020-03-07,中国武漢市,none,1
2020-03-07,根室振興局管内,none,1
2020-03-07,日高振興局管内,none,2
2020-03-07,檜山振興局管内,none,3
2020-03-07,石狩振興局管内,none,36
2020-03-07,十勝総合振興局管内,none,1
2020-03-07,上川総合振興局管内,none,16
2020-03-07,空知総合振興局管内,none,3
2020-03-07,胆振総合振興局管内,none,5
2020-03-07,釧路総合振興局管内,none,6
2020-03-07,渡島総合振興局管内,none,7
2020-03-07,オホーツク総合振興局管内,none,16
2020-03-08,大阪府,none,1
2020-03-08,中国武漢市,none,1
2020-03-08,根室振興局管内,none,1
2020-03-08,日高振興局管内,none,2
2020-03-08,檜山振興局管内,none,3
2020-03-08,石狩振興局管内,none,36
2020-03-08,十勝総合振興局管内,none,1
2020-03-08,上川総合振興局管内,none,17
2020-03-08,空知総合振興局管内,none,5
2020-03-08,胆振総合振興局管内,none,5
2020-03-08,釧路総合振興局管内,none,6
2020-03-08,渡島総合振興局管内,none,7
2020-03-08,オホーツク総合振興局管内,none,16
2020-03-09,大阪府,none,1
2020-03-09,中国武漢市,none,1
2020-03-09,根室振興局管内,none,1
2020-03-09,日高振興局管内,none,2
2020-03-09,檜山振興局管内,none,3
2020-03-09,石狩振興局管内,none,43
2020-03-09,十勝総合振興局管内,none,1
2020-03-09,上川総合振興局管内,none,17
2020-03-09,空知総合振興局管内,none,5
2020-03-09,胆振総合振興局管内,none,5
2020-03-09,釧路総合振興局管内,none,6
2020-03-09,渡島総合振興局管内,none,7
2020-03-09,オホーツク総合振興局管内,none,16
2020-03-10,大阪府,none,1
2020-03-10,中国武漢市,none,1
2020-03-10,根室振興局管内,none,1
2020-03-10,日高振興局管内,none,2
2020-03-10,檜山振興局管内,none,3
2020-03-10,石狩振興局管内,none,46
2020-03-10,十勝総合振興局管内,none,1
2020-03-10,上川総合振興局管内,none,17
2020-03-10,空知総合振興局管内,none,5
2020-03-10,胆振総合振興局管内,none,5
2020-03-10,釧路総合振興局管内,none,6
2020-03-10,渡島総合振興局管内,none,7
2020-03-10,オホーツク総合振興局管内,none,16
2020-03-11,大阪府,none,1
2020-03-11,中国武漢市,none,1
2020-03-11,根室振興局管内,none,1
2020-03-11,日高振興局管内,none,2
2020-03-11,檜山振興局管内,none,3
2020-03-11,石狩振興局管内,none,50
2020-03-11,十勝総合振興局管内,none,1
2020-03-11,上川総合振興局管内,none,18
2020-03-11,胆振総合振興局管内,none,5
2020-03-11,空知総合振興局管内,none,6
2020-03-11,釧路総合振興局管内,none,6
2020-03-11,渡島総合振興局管内,none,7
2020-03-11,オホーツク総合振興局管内,none,17
2020-03-12,大阪府,none,1
2020-03-12,中国武漢市,none,1
2020-03-12,根室振興局管内,none,1
2020-03-12,日高振興局管内,none,2
2020-03-12,檜山振興局管内,none,3
2020-03-12,石狩振興局管内,none,59
2020-03-12,十勝総合振興局管内,none,1
2020-03-12,後志総合振興局管内,none,1
2020-03-12,上川総合振興局管内,none,18
2020-03-12,胆振総合振興局管内,none,5
2020-03-12,空知総合振興局管内,none,6
2020-03-12,釧路総合振興局管内,none,6
2020-03-12,渡島総合振興局管内,none,7
2020-03-12,オホーツク総合振興局管内,none,17
2020-03-13,大阪府,none,1
2020-03-13,中国武漢市,none,1
2020-03-13,根室振興局管内,none,1
2020-03-13,日高振興局管内,none,2
2020-03-13,檜山振興局管内,none,3
2020-03-13,石狩振興局管内,none,71
2020-03-13,十勝総合振興局管内,none,1
2020-03-13,後志総合振興局管内,none,1
2020-03-13,上川総合振興局管内,none,18
2020-03-13,胆振総合振興局管内,none,5
2020-03-13,空知総合振興局管内,none,6
2020-03-13,釧路総合振興局管内,none,6
2020-03-13,渡島総合振興局管内,none,7
2020-03-13,オホーツク総合振興局管内,none,19
2020-03-14,大阪府,none,1
2020-03-14,中国武漢市,none,1
2020-03-14,根室振興局管内,none,1
2020-03-14,日高振興局管内,none,2
2020-03-14,檜山振興局管内,none,3
2020-03-14,石狩振興局管内,none,73
2020-03-14,十勝総合振興局管内,none,1
2020-03-14,後志総合振興局管内,none,1
2020-03-14,上川総合振興局管内,none,18
2020-03-14,胆振総合振興局管内,none,5
2020-03-14,空知総合振興局管内,none,6
2020-03-14,釧路総合振興局管内,none,6
2020-03-14,渡島総合振興局管内,none,7
2020-03-14,オホーツク総合振興局管内,none,19
2020-03-15,大阪府,none,1
2020-03-15,中国武漢市,none,1
2020-03-15,根室振興局管内,none,1
2020-03-15,日高振興局管内,none,2
2020-03-15,檜山振興局管内,none,3
2020-03-15,石狩振興局管内,none,73
2020-03-15,十勝総合振興局管内,none,1
2020-03-15,後志総合振興局管内,none,1
2020-03-15,上川総合振興局管内,none,18
2020-03-15,胆振総合振興局管内,none,6
2020-03-15,釧路総合振興局管内,none,6
2020-03-15,渡島総合振興局管内,none,7
2020-03-15,空知総合振興局管内,none,7
2020-03-15,オホーツク総合振興局管内,none,21
2020-03-16,大阪府,none,1
2020-03-16,中国武漢市,none,1
2020-03-16,根室振興局管内,none,1
2020-03-16,日高振興局管内,none,2
2020-03-16,檜山振興局管内,none,3
2020-03-16,石狩振興局管内,none,76
2020-03-16,十勝総合振興局管内,none,1
2020-03-16,後志総合振興局管内,none,1
2020-03-16,上川総合振興局管内,none,18
2020-03-16,胆振総合振興局管内,none,6
2020-03-16,釧路総合振興局管内,none,6
2020-03-16,渡島総合振興局管内,none,7
2020-03-16,空知総合振興局管内,none,7
2020-03-16,オホーツク総合振興局管内,none,22
2020-03-18,大阪府,none,1
2020-03-18,中国武漢市,none,1
2020-03-18,根室振興局管内,none,1
2020-03-18,日高振興局管内,none,2
2020-03-18,檜山振興局管内,none,3
2020-03-18,石狩振興局管内,none,77
2020-03-18,十勝総合振興局管内,none,1
2020-03-18,後志総合振興局管内,none,1
2020-03-18,上川総合振興局管内,none,18
2020-03-18,胆振総合振興局管内,none,6
2020-03-18,渡島総合振興局管内,none,7
2020-03-18,空知総合振興局管内,none,7
2020-03-18,釧路総合振興局管内,none,7
2020-03-18,オホーツク総合振興局管内,none,22
2020-03-19,大阪府,none,1
2020-03-19,中国武漢市,none,1
2020-03-19,根室振興局管内,none,1
2020-03-19,日高振興局管内,none,2
2020-03-19,檜山振興局管内,none,3
2020-03-19,石狩振興局管内,none,79
2020-03-19,十勝総合振興局管内,none,1
2020-03-19,後志総合振興局管内,none,1
2020-03-19,上川総合振興局管内,none,19
2020-03-19,胆振総合振興局管内,none,6
2020-03-19,渡島総合振興局管内,none,7
2020-03-19,空知総合振興局管内,none,7
2020-03-19,釧路総合振興局管内,none,7
2020-03-19,オホーツク総合振興局管内,none,22
2020-03-20,大阪府,none,1
2020-03-20,中国武漢市,none,1
2020-03-20,根室振興局管内,none,1
2020-03-20,日高振興局管内,none,2
2020-03-20,檜山振興局管内,none,3
2020-03-20,石狩振興局管内,none,80
2020-03-20,十勝総合振興局管内,none,1
2020-03-20,後志総合振興局管内,none,1
2020-03-20,上川総合振興局管内,none,19
2020-03-20,胆振総合振興局管内,none,6
2020-03-20,渡島総合振興局管内,none,7
2020-03-20,空知総合振興局管内,none,7
2020-03-20,釧路総合振興局管内,none,7
2020-03-20,オホーツク総合振興局管内,none,22
2020-03-21,大阪府,none,1
2020-03-21,中国武漢市,none,1
2020-03-21,根室振興局管内,none,1
2020-03-21,日高振興局管内,none,2
2020-03-21,檜山振興局管内,none,3
2020-03-21,石狩振興局管内,none,80
2020-03-21,十勝総合振興局管内,none,1
2020-03-21,後志総合振興局管内,none,1
2020-03-21,上川総合振興局管内,none,19
2020-03-21,胆振総合振興局管内,none,6
2020-03-21,渡島総合振興局管内,none,7
2020-03-21,空知総合振興局管内,none,7
2020-03-21,釧路総合振興局管内,none,8
2020-03-21,オホーツク総合振興局管内,none,22
2020-03-22,大阪府,none,1
2020-03-22,中国武漢市,none,1
2020-03-22,根室振興局管内,none,1
2020-03-22,日高振興局管内,none,2
2020-03-22,檜山振興局管内,none,3
2020-03-22,石狩振興局管内,none,81
2020-03-22,十勝総合振興局管内,none,1
2020-03-22,上川総合振興局管内,none,19
2020-03-22,後志総合振興局管内,none,3
2020-03-22,胆振総合振興局管内,none,6
2020-03-22,渡島総合振興局管内,none,7
2020-03-22,空知総合振興局管内,none,7
2020-03-22,釧路総合振興局管内,none,8
2020-03-22,オホーツク総合振興局管内,none,22
2020-03-24,大阪府,none,1
2020-03-24,中国武漢市,none,1
2020-03-24,根室振興局管内,none,1
2020-03-24,日高振興局管内,none,2
2020-03-24,檜山振興局管内,none,3
2020-03-24,石狩振興局管内,none,82
2020-03-24,十勝総合振興局管内,none,1
2020-03-24,上川総合振興局管内,none,19
2020-03-24,後志総合振興局管内,none,3
2020-03-24,胆振総合振興局管内,none,6
2020-03-24,渡島総合振興局管内,none,7
2020-03-24,空知総合振興局管内,none,7
2020-03-24,釧路総合振興局管内,none,8
2020-03-24,オホーツク総合振興局管内,none,22
2020-03-25,大阪府,none,1
2020-03-25,茨城県,none,1
2020-03-25,中国武漢市,none,1
2020-03-25,根室振興局管内,none,1
2020-03-25,日高振興局管内,none,2
2020-03-25,檜山振興局管内,none,3
2020-03-25,石狩振興局管内,none,85
2020-03-25,十勝総合振興局管内,none,1
2020-03-25,上川総合振興局管内,none,19
2020-03-25,後志総合振興局管内,none,3
2020-03-25,胆振総合振興局管内,none,6
2020-03-25,渡島総合振興局管内,none,7
2020-03-25,空知総合振興局管内,none,7
2020-03-25,釧路総合振興局管内,none,8
2020-03-25,オホーツク総合振興局管内,none,22
2020-03-26,大阪府,none,1
2020-03-26,茨城県,none,1
2020-03-26,中国武漢市,none,1
2020-03-26,根室振興局管内,none,1
2020-03-26,日高振興局管内,none,2
2020-03-26,檜山振興局管内,none,3
2020-03-26,石狩振興局管内,none,85
2020-03-26,十勝総合振興局管内,none,1
2020-03-26,上川総合振興局管内,none,19
2020-03-26,後志総合振興局管内,none,4
2020-03-26,胆振総合振興局管内,none,6
2020-03-26,渡島総合振興局管内,none,7
2020-03-26,空知総合振興局管内,none,7
2020-03-26,釧路総合振興局管内,none,8
2020-03-26,オホーツク総合振興局管内,none,22
2020-03-27,大阪府,none,1
2020-03-27,茨城県,none,1
2020-03-27,中国武漢市,none,1
2020-03-27,根室振興局管内,none,1
2020-03-27,日高振興局管内,none,2
2020-03-27,檜山振興局管内,none,3
2020-03-27,石狩振興局管内,none,86
2020-03-27,十勝総合振興局管内,none,1
2020-03-27,上川総合振興局管内,none,19
2020-03-27,後志総合振興局管内,none,4
2020-03-27,胆振総合振興局管内,none,6
2020-03-27,渡島総合振興局管内,none,7
2020-03-27,空知総合振興局管内,none,7
2020-03-27,釧路総合振興局管内,none,8
2020-03-27,オホーツク総合振興局管内,none,22
2020-03-28,大阪府,none,1
2020-03-28,茨城県,none,1
2020-03-28,中国武漢市,none,1
2020-03-28,根室振興局管内,none,1
2020-03-28,日高振興局管内,none,2
2020-03-28,檜山振興局管内,none,3
2020-03-28,石狩振興局管内,none,87
2020-03-28,十勝総合振興局管内,none,1
2020-03-28,上川総合振興局管内,none,20
2020-03-28,後志総合振興局管内,none,5
2020-03-28,胆振総合振興局管内,none,6
2020-03-28,渡島総合振興局管内,none,7
2020-03-28,空知総合振興局管内,none,7
2020-03-28,釧路総合振興局管内,none,8
2020-03-28,オホーツク総合振興局管内,none,22
2020-03-29,大阪府,none,1
2020-03-29,茨城県,none,1
2020-03-29,神奈川県,none,1
2020-03-29,中国武漢市,none,1
2020-03-29,根室振興局管内,none,1
2020-03-29,日高振興局管内,none,2
2020-03-29,檜山振興局管内,none,3
2020-03-29,石狩振興局管内,none,90
2020-03-29,十勝総合振興局管内,none,1
2020-03-29,上川総合振興局管内,none,20
2020-03-29,後志総合振興局管内,none,5
2020-03-29,胆振総合振興局管内,none,6
2020-03-29,渡島総合振興局管内,none,7
2020-03-29,空知総合振興局管内,none,7
2020-03-29,釧路総合振興局管内,none,8
2020-03-29,オホーツク総合振興局管内,none,22
2020-03-30,大阪府,none,1
2020-03-30,茨城県,none,1
2020-03-30,神奈川県,none,1
2020-03-30,中国武漢市,none,1
2020-03-30,根室振興局管内,none,1
2020-03-30,日高振興局管内,none,2
2020-03-30,檜山振興局管内,none,3
2020-03-30,石狩振興局管内,none,90
2020-03-30,十勝総合振興局管内,none,1
2020-03-30,上川総合振興局管内,none,20
2020-03-30,後志総合振興局管内,none,5
2020-03-30,渡島総合振興局管内,none,7
2020-03-30,空知総合振興局管内,none,7
2020-03-30,胆振総合振興局管内,none,7
2020-03-30,釧路総合振興局管内,none,8
2020-03-30,オホーツク総合振興局管内,none,22
2020-04-01,大阪府,none,1
2020-04-01,茨城県,none,1
2020-04-01,神奈川県,none,2
2020-04-01,中国武漢市,none,1
2020-04-01,根室振興局管内,none,1
2020-04-01,日高振興局管内,none,2
2020-04-01,檜山振興局管内,none,3
2020-04-01,石狩振興局管内,none,90
2020-04-01,十勝総合振興局管内,none,1
2020-04-01,上川総合振興局管内,none,22
2020-04-01,後志総合振興局管内,none,5
2020-04-01,渡島総合振興局管内,none,7
2020-04-01,胆振総合振興局管内,none,7
2020-04-01,空知総合振興局管内,none,8
2020-04-01,釧路総合振興局管内,none,8
2020-04-01,オホーツク総合振興局管内,none,23
2020-04-02,大阪府,none,1
2020-04-02,茨城県,none,1
2020-04-02,神奈川県,none,2
2020-04-02,中国武漢市,none,1
2020-04-02,根室振興局管内,none,1
2020-04-02,日高振興局管内,none,2
2020-04-02,檜山振興局管内,none,3
2020-04-02,石狩振興局管内,none,91
2020-04-02,十勝総合振興局管内,none,1
2020-04-02,釧路総合振興局管内,none,10
2020-04-02,上川総合振興局管内,none,22
2020-04-02,後志総合振興局管内,none,5
2020-04-02,渡島総合振興局管内,none,7
2020-04-02,胆振総合振興局管内,none,7
2020-04-02,空知総合振興局管内,none,8
2020-04-02,オホーツク総合振興局管内,none,23
2020-04-03,大阪府,none,1
2020-04-03,茨城県,none,1
2020-04-03,神奈川県,none,2
2020-04-03,中国武漢市,none,1
2020-04-03,根室振興局管内,none,1
2020-04-03,日高振興局管内,none,2
2020-04-03,檜山振興局管内,none,3
2020-04-03,石狩振興局管内,none,95
2020-04-03,十勝総合振興局管内,none,1
2020-04-03,釧路総合振興局管内,none,11
2020-04-03,上川総合振興局管内,none,22
2020-04-03,後志総合振興局管内,none,5
2020-04-03,渡島総合振興局管内,none,7
2020-04-03,胆振総合振興局管内,none,7
2020-04-03,空知総合振興局管内,none,8
2020-04-03,オホーツク総合振興局管内,none,23
2020-04-04,大阪府,none,1
2020-04-04,茨城県,none,1
2020-04-04,神奈川県,none,2
2020-04-04,中国武漢市,none,1
2020-04-04,根室振興局管内,none,1
2020-04-04,日高振興局管内,none,2
2020-04-04,檜山振興局管内,none,3
2020-04-04,石狩振興局管内,none,97
2020-04-04,十勝総合振興局管内,none,1
2020-04-04,釧路総合振興局管内,none,12
2020-04-04,上川総合振興局管内,none,22
2020-04-04,後志総合振興局管内,none,5
2020-04-04,渡島総合振興局管内,none,7
2020-04-04,胆振総合振興局管内,none,7
2020-04-04,空知総合振興局管内,none,8
2020-04-04,オホーツク総合振興局管内,none,23
2020-04-05,大阪府,none,1
2020-04-05,茨城県,none,1
2020-04-05,神奈川県,none,2
2020-04-05,中国武漢市,none,1
2020-04-05,根室振興局管内,none,1
2020-04-05,日高振興局管内,none,2
2020-04-05,檜山振興局管内,none,3
2020-04-05,石狩振興局管内,none,97
2020-04-05,十勝総合振興局管内,none,1
2020-04-05,釧路総合振興局管内,none,12
2020-04-05,上川総合振興局管内,none,22
2020-04-05,後志総合振興局管内,none,6
2020-04-05,渡島総合振興局管内,none,7
2020-04-05,胆振総合振興局管内,none,7
2020-04-05,空知総合振興局管内,none,8
2020-04-05,オホーツク総合振興局管内,none,23
2020-04-07,大阪府,none,1
